,,,,【時間帯(60)】,【時間帯(60)】,【時間帯(60)】,8:00,8:00,8:00,9:00,9:00,9:00,10:00,10:00,10:00,11:00,11:00,11:00,12:00,12:00,12:00,13:00,13:00,13:00,14:00,14:00,14:00,15:00,15:00,15:00,16:00,16:00,16:00,17:00,17:00,17:00,18:00,18:00,18:00,19:00,19:00,19:00,20:00,20:00,20:00,21:00,21:00,21:00,22:00,22:00,22:00,23:00,23:00,23:00,24:00:00,24:00:00,24:00:00
,,,,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3
【期間】,,【カテゴリ/商品】,,416135 ,90662603 ,178752 ,4 ,737 ,2 ,9787 ,1964564 ,5 ,19681 ,4084492 ,5 ,30167 ,6665172 ,13 ,29348 ,6863289 ,42 ,21965 ,4999777 ,1411 ,22901 ,5299737 ,1457 ,25472 ,5856499 ,1271 ,32507 ,7732182 ,2085 ,38773 ,9174097 ,9859 ,43115 ,10283022 ,26480 ,29452 ,7299127 ,24129 ,29446 ,6097437 ,28610 ,38014 ,7147554 ,37902 ,35266 ,5738683 ,35249 ,9821 ,1397043 ,9817 ,416 ,59191 ,415 
2016年07月15日(金),,92851023,三元豚手作りロースのソースかつ重,4,1992 ,0,,,,,,,1,498 ,0,,,,2,996 ,0,1,498 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年07月16日(土),,92851023,三元豚手作りロースのソースかつ重,4,1792 ,2,,,,,,,,,,2,996 ,0,,,,,,,,,,,,,,,,2 ,796 ,2 ,,,,,,,,,,,,,,,,,,,,,
2016年07月17日(日),,92851023,三元豚手作りロースのソースかつ重,4,1892 ,1,,,,1,498 ,0,1,498 ,0,1,498 ,0,,,,,,,,,,,,,,,,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年07月18日(月),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,3,,,,,,,,,,,,,1,498 ,0,,,,1 ,448 ,1 ,,,,1 ,448 ,1 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年07月19日(火),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,4,,,,,,,,,,,,,,,,,,,,,,2 ,896 ,2 ,,,,1 ,398 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年07月20日(水),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,3,,,,,,,,,,1,498 ,0,,,,,,,1 ,448 ,1 ,1 ,448 ,1 ,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年07月21日(木),,92851023,三元豚手作りロースのソースかつ重,4,1842 ,2,,,,,,,,,,,,,2,996 ,0,1,448 ,1 ,,,,,,,,,,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年07月22日(金),,92851023,三元豚手作りロースのソースかつ重,4,1292 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,398 ,1 ,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年07月23日(土),,92851023,三元豚手作りロースのソースかつ重,10,4480 ,5,,,,,,,,,,,,,3,1494 ,0,1,498 ,0 ,,,,,,,,,,,,,1 ,498 ,0 ,2 ,796 ,2 ,3 ,1194 ,3 ,,,,,,,,,,,,
2016年07月24日(日),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,3,,,,,,,,,,,,,,,,1,498 ,0 ,1 ,448 ,1 ,,,,1 ,448 ,1 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年07月25日(月),,92851023,三元豚手作りロースのソースかつ重,4,1892 ,2,,,,,,,,,,2,996 ,0,,,,,,,,,,2 ,896 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年07月26日(火),,92851023,三元豚手作りロースのソースかつ重,4,1992 ,0,,,,,,,,,,,,,4,1992 ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年07月27日(水),,92851023,三元豚手作りロースのソースかつ重,9,2737 ,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,796 ,2 ,2 ,696 ,2 ,3 ,747 ,3 ,2 ,498 ,2 ,,,,,,
2016年07月28日(木),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,,,,,,,1,498 ,0,2,996 ,0,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年07月29日(金),,92851023,三元豚手作りロースのソースかつ重,7,3086 ,4,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,1 ,448 ,1 ,2 ,896 ,1 ,2 ,796 ,1 ,1 ,498 ,0 ,,,,,,,,,,,,,,,
2016年07月31日(日),,92851023,三元豚手作りロースのソースかつ重,10,4830 ,3,,,,,,,,,,1,498 ,0,3,1494 ,0,,,,,,,,,,1 ,498 ,0 ,,,,1 ,498 ,0 ,1 ,498 ,0 ,1 ,448 ,1 ,2 ,896 ,2 ,,,,,,,,,
2016年08月01日(月),,92851023,三元豚手作りロースのソースかつ重,13,5326 ,9,,,,,,,,,,1,498 ,0,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,1 ,398 ,1 ,2 ,996 ,0 ,1 ,398 ,1 ,4 ,1592 ,4 ,1 ,249 ,1 ,1 ,249 ,1 ,,,,,,
2016年08月02日(火),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,2,,,,,,,,,,1,498 ,0,1,498 ,0,,,,1 ,448 ,1 ,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年08月03日(水),,92851023,三元豚手作りロースのソースかつ重,4,1542 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,,,,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年08月04日(木),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,3,,,,,,,,,,,,,1,498 ,0,,,,2 ,896 ,2 ,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年08月05日(金),,92851023,三元豚手作りロースのソースかつ重,8,3334 ,6,,,,,,,,,,,,,1,498 ,0,1,498 ,0 ,,,,,,,1 ,448 ,1 ,1 ,298 ,1 ,,,,2 ,796 ,2 ,1 ,398 ,1 ,1 ,398 ,1 ,,,,,,,,,
2016年08月06日(土),,92851023,三元豚手作りロースのソースかつ重,10,3135 ,9,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,1 ,398 ,1 ,2 ,596 ,2 ,,,,1 ,398 ,1 ,4 ,996 ,4 ,1 ,249 ,1 ,,,,,,
2016年08月07日(日),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,,,,1,498 ,0,,,,2,996 ,0,1,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年08月08日(月),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,2,,,,,,,,,,1,498 ,0,1,498 ,0,,,,,,,,,,,,,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年08月09日(火),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,2,,,,,,,,,,,,,2,996 ,0,,,,,,,,,,,,,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年08月10日(水),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,2,,,,,,,,,,1,498 ,0,1,498 ,0,,,,1 ,448 ,1 ,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年08月11日(木),,92851023,三元豚手作りロースのソースかつ重,4,1342 ,4,,,,,,,,,,,,,,,,1,448 ,1 ,,,,,,,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年08月12日(金),,92851023,三元豚手作りロースのソースかつ重,3,1494 ,0,,,,,,,1,498 ,0,,,,2,996 ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年08月13日(土),,92851023,三元豚手作りロースのソースかつ重,12,5476 ,5,,,,,,,,,,2,996 ,0,1,498 ,0,,,,1 ,498 ,0 ,,,,,,,2 ,996 ,0 ,1 ,498 ,0 ,2 ,796 ,2 ,2 ,796 ,2 ,1 ,398 ,1 ,,,,,,,,,
2016年08月14日(日),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,3,,,,,,,,,,,,,,,,,,,,,,,,,1 ,498 ,0 ,1 ,398 ,1 ,2 ,796 ,2 ,,,,,,,,,,,,,,,,,,
2016年08月15日(月),,92851023,三元豚手作りロースのソースかつ重,4,1842 ,1,,,,,,,1,498 ,0,,,,1,498 ,0,,,,,,,,,,1 ,498 ,0 ,,,,1 ,348 ,1 ,,,,,,,,,,,,,,,,,,
2016年08月16日(火),,92851023,三元豚手作りロースのソースかつ重,12,5476 ,5,,,,,,,1,498 ,0,1,498 ,0,2,996 ,0,,,,,,,,,,,,,,,,3 ,1494 ,0 ,,,,4 ,1592 ,4 ,1 ,398 ,1 ,,,,,,,,,
2016年08月17日(水),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,3,,,,,,,,,,,,,1,498 ,0,,,,,,,1 ,448 ,1 ,,,,2 ,796 ,2 ,,,,,,,,,,,,,,,,,,,,,
2016年08月18日(木),,92851023,三元豚手作りロースのソースかつ重,4,1192 ,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,298 ,1 ,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年08月19日(金),,92851023,三元豚手作りロースのソースかつ重,4,1792 ,1,,,,,,,2,996 ,0,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年08月20日(土),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,,,,,,,2,996 ,0,,,,1,498 ,0 ,,,,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,
2016年08月21日(日),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,1,498 ,0,2,996 ,0,,,,,,,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年08月22日(月),,92851023,三元豚手作りロースのソースかつ重,4,1492 ,3,,,,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,1 ,398 ,1 ,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年08月23日(火),,92851023,三元豚手作りロースのソースかつ重,4,1342 ,4,,,,,,,,,,,,,,,,1,448 ,1 ,,,,,,,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年08月24日(水),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,2,,,,,,,1,498 ,0,,,,,,,1,498 ,0 ,,,,,,,,,,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年08月25日(木),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,,,,,,,1,498 ,0,2,996 ,0,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年08月26日(金),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,1 ,448 ,1 ,2 ,796 ,2 ,,,,,,,,,,,,,,,,,,,,,
2016年08月27日(土),,92851023,三元豚手作りロースのソースかつ重,4,1792 ,3,,,,,,,,,,1,498 ,0,,,,1,448 ,1 ,,,,,,,1 ,448 ,1 ,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年08月28日(日),,92851023,三元豚手作りロースのソースかつ重,4,1842 ,1,,,,,,,1,498 ,0,1,498 ,0,,,,,,,,,,,,,1 ,498 ,0 ,,,,,,,1 ,348 ,1 ,,,,,,,,,,,,,,,
2016年08月29日(月),,92851023,三元豚手作りロースのソースかつ重,4,1592 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,1 ,398 ,1 ,1 ,398 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年08月30日(火),,92851023,三元豚手作りロースのソースかつ重,4,1792 ,1,,,,,,,,,,1,498 ,0,2,996 ,0,,,,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年08月31日(水),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,2,,,,,,,1,498 ,0,1,498 ,0,,,,,,,,,,,,,1 ,448 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年09月01日(木),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,2,,,,,,,,,,,,,,,,2,996 ,0 ,,,,,,,1 ,398 ,1 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年09月02日(金),,92851023,三元豚手作りロースのソースかつ重,4,1292 ,4,,,,,,,,,,,,,,,,,,,,,,,,,1 ,398 ,1 ,2 ,596 ,2 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年09月03日(土),,92851023,三元豚手作りロースのソースかつ重,4,1892 ,2,,,,,,,2,996 ,0,,,,,,,,,,2 ,896 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年09月04日(日),,92851023,三元豚手作りロースのソースかつ重,9,3832 ,7,,,,,,,1,498 ,0,,,,,,,,,,,,,2 ,946 ,1 ,,,,2 ,796 ,2 ,4 ,1592 ,4 ,,,,,,,,,,,,,,,,,,
2016年09月05日(月),,92851023,三元豚手作りロースのソースかつ重,8,3684 ,3,,,,1,498 ,0,,,,,,,,,,,,,,,,1 ,448 ,1 ,1 ,448 ,1 ,1 ,298 ,1 ,1 ,498 ,0 ,3 ,1494 ,0 ,,,,,,,,,,,,,,,
2016年09月06日(火),,92851023,三元豚手作りロースのソースかつ重,10,3534 ,7,,,,,,,,,,,,,1,498 ,0,,,,1 ,448 ,1 ,,,,,,,,,,1 ,298 ,1 ,3 ,1294 ,1 ,,,,2 ,498 ,2 ,2 ,498 ,2 ,,,,,,
2016年09月07日(水),,92851023,三元豚手作りロースのソースかつ重,10,3483 ,9,,,,,,,,,,,,,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,1 ,398 ,1 ,1 ,298 ,1 ,3 ,1244 ,3 ,,,,1 ,199 ,1 ,2 ,398 ,2 ,,,,,,
2016年09月08日(木),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,2,,,,,,,,,,1,498 ,0,1,498 ,0,1,448 ,1 ,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年09月09日(金),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,,,,,,,1,498 ,0,2,996 ,0,,,,,,,,,,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年09月10日(土),,92851023,三元豚手作りロースのソースかつ重,4,1442 ,4,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,1 ,398 ,1 ,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年09月11日(日),,92851023,三元豚手作りロースのソースかつ重,4,1792 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,2 ,896 ,2 ,,,,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年09月12日(月),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,2,,,,,,,1,498 ,0,,,,,,,1,498 ,0 ,,,,,,,,,,2 ,696 ,2 ,,,,,,,,,,,,,,,,,,,,,
2016年09月13日(火),,92851023,三元豚手作りロースのソースかつ重,4,1442 ,4,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,,,,1 ,398 ,1 ,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年09月14日(水),,92851023,三元豚手作りロースのソースかつ重,4,1542 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,2 ,696 ,2 ,1 ,348 ,1 ,,,,,,,,,,,,,,,,,,
2016年09月15日(木),,92851023,三元豚手作りロースのソースかつ重,10,3683 ,8,,,,,,,,,,1,498 ,0,1,498 ,0,1,448 ,1 ,,,,,,,,,,,,,1 ,298 ,1 ,1 ,398 ,1 ,1 ,398 ,1 ,4 ,1145 ,4 ,,,,,,,,,
2016年09月16日(金),,92851023,三元豚手作りロースのソースかつ重,12,3782 ,10,,,,,,,,,,,,,,,,1,448 ,1 ,1 ,448 ,1 ,,,,1 ,398 ,1 ,1 ,498 ,0 ,2 ,796 ,1 ,,,,,,,,,,6 ,1194 ,6 ,,,,,,
2016年09月17日(土),,92851023,三元豚手作りロースのソースかつ重,4,1542 ,3,,,,,,,,,,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,,,,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年09月18日(日),,92851023,三元豚手作りロースのソースかつ重,10,3485 ,8,,,,,,,,,,,,,2,996 ,0,,,,1 ,448 ,1 ,,,,,,,1 ,398 ,1 ,,,,,,,1 ,398 ,1 ,2 ,498 ,2 ,3 ,747 ,3 ,,,,,,
2016年09月19日(月),,92851023,三元豚手作りロースのソースかつ重,4,1792 ,1,,,,,,,,,,1,498 ,0,2,996 ,0,,,,,,,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年09月20日(火),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,4,,,,,,,,,,,,,,,,2,896 ,2 ,1 ,448 ,1 ,,,,,,,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,
2016年09月21日(水),,92851023,三元豚手作りロースのソースかつ重,13,4678 ,11,,,,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,3 ,1194 ,3 ,1 ,298 ,1 ,1 ,498 ,0 ,2 ,796 ,2 ,2 ,647 ,2 ,3 ,747 ,3 ,,,,,,
2016年09月22日(木),,92851023,三元豚手作りロースのソースかつ重,4,1692 ,2,,,,,,,,,,1,498 ,0,,,,1,498 ,0 ,,,,,,,,,,1 ,398 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年09月23日(金),,92851023,三元豚手作りロースのソースかつ重,3,1444 ,1,,,,,,,,,,,,,1,498 ,0,1,498 ,0 ,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年09月24日(土),,92851023,三元豚手作りロースのソースかつ重,10,4680 ,3,,,,,,,1,498 ,0,2,996 ,0,3,1494 ,0,1,498 ,0 ,,,,1 ,448 ,1 ,1 ,448 ,1 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年09月25日(日),,92851023,三元豚手作りロースのソースかつ重,10,4730 ,4,,,,,,,,,,1,498 ,0,2,996 ,0,,,,1 ,498 ,0 ,2 ,996 ,0 ,,,,1 ,398 ,1 ,1 ,448 ,1 ,2 ,896 ,2 ,,,,,,,,,,,,,,,
2016年09月26日(月),,92851023,三元豚手作りロースのソースかつ重,10,3084 ,9,,,,,,,,,,,,,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,,,,2 ,596 ,2 ,,,,1 ,348 ,1 ,1 ,348 ,1 ,4 ,846 ,4 ,,,,,,
2016年09月27日(火),,92851023,三元豚手作りロースのソースかつ重,10,3883 ,8,,,,,,,,,,1,498 ,0,,,,1,448 ,1 ,2 ,896 ,2 ,,,,,,,,,,1 ,498 ,0 ,1 ,398 ,1 ,1 ,398 ,1 ,2 ,498 ,2 ,1 ,249 ,1 ,,,,,,
2016年09月28日(水),,92851023,三元豚手作りロースのソースかつ重,9,2736 ,8,,,,,,,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,,,,,,,1 ,398 ,1 ,,,,1 ,298 ,1 ,1 ,298 ,1 ,,,,4 ,796 ,4 ,,,,,,
2016年09月29日(木),,92851023,三元豚手作りロースのソースかつ重,10,4081 ,7,,,,,,,,,,,,,1,498 ,0,1,498 ,0 ,,,,1 ,448 ,1 ,,,,,,,1 ,298 ,1 ,2 ,896 ,1 ,2 ,796 ,2 ,2 ,647 ,2 ,,,,,,,,,
2016年09月30日(金),,92851023,三元豚手作りロースのソースかつ重,4,1392 ,3,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,,,,2 ,596 ,2 ,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年10月01日(土),,92851023,三元豚手作りロースのソースかつ重,9,2736 ,9,,,,,,,,,,,,,,,,1,448 ,1 ,,,,,,,,,,1 ,298 ,1 ,,,,3 ,994 ,3 ,,,,4 ,996 ,4 ,,,,,,,,,
2016年10月02日(日),,92851023,三元豚手作りロースのソースかつ重,10,3483 ,9,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,1 ,398 ,1 ,2 ,596 ,2 ,,,,2 ,896 ,1 ,1 ,398 ,1 ,3 ,747 ,3 ,,,,,,,,,
2016年10月03日(月),,92851023,三元豚手作りロースのソースかつ重,4,1792 ,1,,,,,,,1,498 ,0,1,498 ,0,1,498 ,0,,,,,,,,,,,,,,,,,,,,,,1 ,298 ,1 ,,,,,,,,,,,,
2016年10月04日(火),,92851023,三元豚手作りロースのソースかつ重,7,2639 ,4,,,,,,,2,996 ,0,1,498 ,0,,,,,,,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,2 ,498 ,2 ,1 ,199 ,1 ,,,,,,
2016年10月05日(水),,92851023,三元豚手作りロースのソースかつ重,9,3633 ,6,,,,1,498 ,0,,,,,,,1,498 ,0,,,,,,,,,,,,,1 ,298 ,1 ,2 ,896 ,1 ,1 ,398 ,1 ,1 ,398 ,1 ,2 ,647 ,2 ,,,,,,,,,
2016年10月06日(木),,92851023,三元豚手作りロースのソースかつ重,4,1492 ,4,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,1 ,448 ,1 ,,,,1 ,298 ,1 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年10月07日(金),,92851023,三元豚手作りロースのソースかつ重,10,3783 ,8,,,,,,,,,,1,498 ,0,1,498 ,0,1,448 ,1 ,1 ,448 ,1 ,,,,,,,,,,,,,1 ,448 ,1 ,2 ,696 ,2 ,3 ,747 ,3 ,,,,,,,,,
2016年10月08日(土),,92851023,三元豚手作りロースのソースかつ重,4,1842 ,3,,,,,,,,,,1,498 ,0,,,,2,896 ,2 ,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年10月09日(日),,92851023,三元豚手作りロースのソースかつ重,4,1892 ,1,,,,,,,,,,1,498 ,0,1,498 ,0,1,498 ,0 ,,,,,,,1 ,398 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,
2016年10月10日(月),,92851023,三元豚手作りロースのソースかつ重,4,1642 ,4,,,,,,,,,,,,,,,,1,448 ,1 ,,,,,,,,,,3 ,1194 ,3 ,,,,,,,,,,,,,,,,,,,,,
2016年10月11日(火),,92851023,三元豚手作りロースのソースかつ重,10,3085 ,9,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,1 ,448 ,1 ,,,,1 ,298 ,1 ,2 ,796 ,1 ,,,,,,,1 ,249 ,1 ,1 ,249 ,1 ,3 ,597 ,3 ,,,
2016年10月12日(水),,92851023,三元豚手作りロースのソースかつ重,10,4481 ,4,,,,,,,1,498 ,0,1,498 ,0,1,498 ,0,1,448 ,1 ,,,,,,,,,,3 ,1494 ,0 ,,,,,,,1 ,398 ,1 ,1 ,398 ,1 ,1 ,249 ,1 ,,,,,,
2016年10月13日(木),,92851023,三元豚手作りロースのソースかつ重,4,1642 ,3,,,,,,,,,,1,498 ,0,,,,1,448 ,1 ,,,,,,,1 ,398 ,1 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年10月14日(金),,92851023,三元豚手作りロースのソースかつ重,10,3880 ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,298 ,1 ,4 ,1592 ,2 ,3 ,1194 ,2 ,1 ,398 ,1 ,1 ,398 ,1 ,,,,,,,,,
2016年10月15日(土),,92851023,三元豚手作りロースのソースかつ重,12,5277 ,5,,,,,,,1,498 ,0,,,,,,,1,448 ,1 ,,,,,,,,,,7 ,3186 ,2 ,1 ,498 ,0 ,,,,1 ,398 ,1 ,1 ,249 ,1 ,,,,,,,,,
2016年10月16日(日),,92851023,三元豚手作りロースのソースかつ重,12,4977 ,7,,,,,,,1,498 ,0,,,,,,,1,498 ,0 ,,,,1 ,448 ,1 ,1 ,498 ,0 ,3 ,1394 ,1 ,,,,,,,2 ,597 ,2 ,3 ,1044 ,3 ,,,,,,,,,
2016年10月17日(月),,92851023,三元豚手作りロースのソースかつ重,8,2936 ,7,,,,,,,,,,,,,1,498 ,0,,,,,,,1 ,448 ,1 ,,,,1 ,398 ,1 ,1 ,298 ,1 ,,,,2 ,796 ,2 ,1 ,249 ,1 ,1 ,249 ,1 ,,,,,,
2016年10月18日(火),,92851023,三元豚手作りロースのソースかつ重,4,1342 ,4,,,,,,,,,,,,,,,,1,448 ,1 ,,,,,,,,,,,,,2 ,596 ,2 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年10月19日(水),,92851023,三元豚手作りロースのソースかつ重,4,1942 ,1,,,,,,,,,,2,996 ,0,1,498 ,0,,,,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年10月20日(木),,92851023,三元豚手作りロースのソースかつ重,4,1892 ,2,,,,,,,,,,,,,2,996 ,0,,,,1 ,448 ,1 ,1 ,448 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016年10月21日(金),,92851023,三元豚手作りロースのソースかつ重,4,1542 ,4,,,,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,3 ,1094 ,3 ,,,,,,,,,,,,,,,,,,,,,
2016年10月22日(土),,92851023,三元豚手作りロースのソースかつ重,4,1342 ,4,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年10月23日(日),,92851023,三元豚手作りロースのソースかつ重,10,4880 ,1,,,,,,,1,498 ,0,3,1494 ,0,,,,,,,,,,,,,,,,,,,4 ,1992 ,0 ,2 ,896 ,1 ,,,,,,,,,,,,,,,
2016年10月24日(月),,92851023,三元豚手作りロースのソースかつ重,10,3634 ,8,,,,,,,,,,,,,,,,1,448 ,1 ,1 ,448 ,1 ,,,,1 ,448 ,1 ,,,,2 ,796 ,1 ,1 ,498 ,0 ,,,,4 ,996 ,4 ,,,,,,,,,
2016年10月25日(火),,92851023,三元豚手作りロースのソースかつ重,4,1442 ,4,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,1 ,398 ,1 ,,,,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年10月27日(木),,92851023,三元豚手作りロースのソースかつ重,4,1742 ,2,,,,,,,,,,,,,2,996 ,0,,,,,,,,,,1 ,448 ,1 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年10月28日(金),,92851023,三元豚手作りロースのソースかつ重,8,3135 ,6,,,,,,,,,,,,,,,,2,896 ,2 ,,,,,,,,,,2 ,596 ,2 ,2 ,996 ,0 ,,,,,,,2 ,647 ,2 ,,,,,,,,,
2016年10月29日(土),,92851023,三元豚手作りロースのソースかつ重,12,3533 ,11,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,1 ,398 ,1 ,2 ,696 ,2 ,,,,,,,2 ,647 ,2 ,6 ,1294 ,6 ,,,,,,
