,,,,【時間帯(60)】,【時間帯(60)】,【時間帯(60)】,8:00,8:00,8:00,9:00,9:00,9:00,10:00,10:00,10:00,11:00,11:00,11:00,12:00,12:00,12:00,13:00,13:00,13:00,14:00,14:00,14:00,15:00,15:00,15:00,16:00,16:00,16:00,17:00,17:00,17:00,18:00,18:00,18:00,19:00,19:00,19:00,20:00,20:00,20:00,21:00,21:00,21:00,22:00,22:00,22:00,23:00,23:00,23:00,24:00:00,24:00:00,24:00:00
,,,,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3,売上点数,売上金額,値引数量3
【期間】,,【カテゴリ/商品】,,416135 ,90662603 ,178752 ,4 ,737 ,2 ,9787 ,1964564 ,5 ,19681 ,4084492 ,5 ,30167 ,6665172 ,13 ,29348 ,6863289 ,42 ,21965 ,4999777 ,1411 ,22901 ,5299737 ,1457 ,25472 ,5856499 ,1271 ,32507 ,7732182 ,2085 ,38773 ,9174097 ,9859 ,43115 ,10283022 ,26480 ,29452 ,7299127 ,24129 ,29446 ,6097437 ,28610 ,38014 ,7147554 ,37902 ,35266 ,5738683 ,35249 ,9821 ,1397043 ,9817 ,416 ,59191 ,415 
2016年02月12日(金),,92851023,三元豚手作りロースのソースかつ重,6,2288 ,5,,,,,,,,,,,,,1,498 ,0,1,448 ,1 ,1 ,448 ,1 ,,,,,,,,,,3 ,894 ,3 ,,,,,,,,,,,,,,,,,,
2016年02月13日(土),,92851023,三元豚手作りロースのソースかつ重,12,4381 ,9,,,,,,,,,,,,,1,498 ,0,,,,,,,2 ,996 ,0 ,,,,1 ,448 ,1 ,,,,,,,2 ,796 ,2 ,6 ,1643 ,6 ,,,,,,,,,
2016年02月14日(日),,92851023,三元豚手作りロースのソースかつ重,6,2738 ,3,,,,,,,1,498 ,0,1,498 ,0,1,498 ,0,1,448 ,1 ,,,,,,,2 ,796 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,
2016年02月15日(月),,92851023,三元豚手作りロースのソースかつ重,6,1988 ,5,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,,,,5 ,1490 ,5 ,,,,,,,,,,,,,,,,,,
2016年02月16日(火),,92851023,三元豚手作りロースのソースかつ重,6,2288 ,5,,,,,,,1,498 ,0,,,,,,,1,448 ,1 ,,,,1 ,448 ,1 ,,,,1 ,298 ,1 ,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年02月17日(水),,92851023,三元豚手作りロースのソースかつ重,6,2188 ,4,,,,1,498 ,0,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,3 ,894 ,3 ,1 ,298 ,1 ,,,,,,,,,,,,,,,
2016年02月18日(木),,92851023,三元豚手作りロースのソースかつ重,7,2186 ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 ,994 ,3 ,4 ,1192 ,4 ,,,,,,,,,,,,,,,,,,
2016年02月19日(金),,92851023,三元豚手作りロースのソースかつ重,6,2188 ,4,,,,,,,,,,1,498 ,0,1,498 ,0,,,,,,,,,,,,,2 ,596 ,2 ,2 ,596 ,2 ,,,,,,,,,,,,,,,,,,
2016年02月20日(土),,92851023,三元豚手作りロースのソースかつ重,6,2488 ,5,,,,,,,,,,,,,1,498 ,0,,,,1 ,448 ,1 ,,,,3 ,1244 ,3 ,,,,1 ,298 ,1 ,,,,,,,,,,,,,,,,,,
2016年02月21日(日),,92851023,三元豚手作りロースのソースかつ重,12,4481 ,8,,,,,,,,,,2,996 ,0,,,,2,946 ,1 ,,,,,,,,,,,,,3 ,1294 ,2 ,,,,,,,3 ,747 ,3 ,2 ,498 ,2 ,,,,,,
2016年02月22日(月),,92851023,三元豚手作りロースのソースかつ重,6,2038 ,6,,,,,,,,,,,,,,,,,,,,,,,,,1 ,448 ,1 ,1 ,398 ,1 ,4 ,1192 ,4 ,,,,,,,,,,,,,,,,,,
2016年02月23日(火),,92851023,三元豚手作りロースのソースかつ重,6,2188 ,5,,,,,,,,,,1,498 ,0,,,,,,,,,,,,,,,,5 ,1690 ,5 ,,,,,,,,,,,,,,,,,,,,,
