youbi,SKUcode,item,urisuu,urikin,nesage,nine_urisuu,nine_urikin,nine_nesage,ten_urisuu,ten_urikin,ten_nesage,eleven_urisuu,eleven_urikin,eleven_nesage,noon_urisuu,noon_urikin,noon_nesage,one_urisuu,one_urikin,one_nesage,two_urisuu,two_urikin,two_nesage,three_urisuu,three_urikin,three_nesage,four_urisuu,four_urikin,four_nesage,five_urisuu,five_urikin,five_nesage,six_urisuu,six_urikin,six_nesage,seven_urisuu,seven_urikin,seven_nesage,eight_urisuu,eight_urikin,eight_nesage,pm_nine_urisuu,pm_nine_urikin,pm_nine_nesage,pm_ten_urisuu,pm_ten_urikin,pm_ten_nesage,pm_eleve_urisuu,pm_eleven_urikin,pm_eleven_nesage
2017年06月02日(金),92631267,あぶり焼きチキン,16,2981,11,1,188,0,,,,,,,,,,,,,1,188,0,1,188,0,1,188,0,,,,3,724,2,2,536,2,2,388,2,1,150,1,4,431,4,,,
2017年06月03日(土),92631267,あぶり焼きチキン,20,4070,14,,,,1,298,0,1,298,0,1,188,0,1,188,0,,,,2,596,0,,,,4,874,4,3,705,3,1,131,1,4,604,4,2,188,2,,,,,,
2017年06月04日(日),92631267,あぶり焼きチキン,44,11932,15,2,376,0,1,188,0,3,674,0,1,298,0,3,784,0,4,1082,0,3,1066,0,5,1552,0,5,1772,0,1,522,1,6,1802,4,4,1178,4,2,262,2,4,376,4,,,
2017年06月05日(月),92631267,あぶり焼きチキン,18,5298,6,2,486,0,2,878,0,2,486,0,,,,1,188,0,,,,1,298,0,4,1254,0,1,268,1,2,536,2,,,,2,614,2,1,290,1,,,,,,
2017年06月06日(火),92631267,あぶり焼きチキン,20,3941,11,,,,1,298,0,,,,2,486,0,,,,2,486,0,1,188,0,1,298,0,,,,3,754,1,,,,3,519,3,4,575,4,3,337,3,,,
2017年06月07日(水),92631267,あぶり焼きチキン,26,6880,13,1,298,0,,,,2,376,0,3,894,0,,,,2,486,0,1,188,0,3,674,0,1,298,0,4,1227,4,3,1058,3,2,362,2,4,1019,4,,,,,,
2017年06月08日(木),92631267,あぶり焼きチキン,31,9927,17,,,,2,796,0,1,398,0,1,398,0,,,,2,796,0,1,398,0,2,796,0,1,398,0,6,2308,2,2,489,2,7,1906,7,5,1085,5,1,159,1,,,
2017年06月09日(金),92631267,あぶり焼きチキン,16,3365,4,,,,,,,3,564,0,,,,1,298,0,2,486,0,1,188,0,2,486,0,2,376,0,2,456,1,1,268,1,,,,2,243,2,,,,,,
2017年06月10日(土),92631267,あぶり焼きチキン,10,2248,5,,,,,,,1,188,0,,,,1,298,0,,,,,,,1,298,0,2,596,0,1,268,1,2,338,2,2,262,2,,,,,,,,,
2017年06月11日(日),92631267,あぶり焼きチキン,87,31978,22,,,,5,1662,0,5,1270,0,7,2430,0,6,2070,0,6,2752,0,9,2744,0,11,3684,0,12,5048,0,13,4476,12,9,5267,6,1,238,1,3,337,3,,,,,,
2017年06月12日(月),92631267,あぶり焼きチキン,31,8753,16,1,188,0,1,188,0,4,1364,0,1,298,0,4,972,0,1,298,0,2,486,0,1,188,0,4,1227,4,4,874,4,6,2056,6,1,406,1,1,208,1,,,,,,
2017年06月13日(火),92631267,あぶり焼きチキン,18,4777,13,,,,,,,,,,1,298,0,3,1458,0,,,,,,,1,188,0,,,,6,1311,6,3,585,3,1,208,1,3,729,3,,,,,,
2017年06月14日(水),92631267,あぶり焼きチキン,36,8279,18,,,,2,486,0,2,376,0,3,1066,0,3,784,0,1,188,0,2,596,0,1,188,0,2,486,0,5,1445,3,1,268,1,4,543,4,7,1270,7,3,583,3,,,
2017年06月15日(木),92631267,あぶり焼きチキン,37,10803,27,,,,1,398,0,1,398,0,,,,2,796,0,2,796,0,1,398,0,,,,2,796,0,4,1472,3,2,541,2,10,2820,10,8,1592,8,4,796,4,,,
2017年06月16日(金),92631267,あぶり焼きチキン,20,3888,10,,,,,,,,,,,,,2,486,0,2,596,0,1,298,0,2,486,0,3,564,0,1,169,1,1,169,1,2,281,2,6,839,6,,,,,,
2017年06月17日(土),92631267,あぶり焼きチキン,20,4245,8,,,,4,1082,0,,,,,,,,,,1,188,0,1,188,0,2,486,0,3,784,0,,,,1,298,0,2,339,2,2,300,2,4,580,4,,,
2017年06月18日(日),92631267,あぶり焼きチキン,94,36964,39,,,,4,1192,0,8,5158,0,5,1772,0,2,878,0,9,4092,0,5,1944,0,10,4128,1,10,4410,1,10,4146,7,7,3442,6,8,2092,8,7,1896,7,9,1814,9,,,
2017年06月19日(月),92631267,あぶり焼きチキン,29,7033,20,1,298,0,,,,1,298,0,1,188,0,,,,,,,,,,2,596,0,8,2199,4,7,1833,7,2,730,2,1,131,1,3,478,3,3,282,3,,,
2017年06月20日(火),92631267,あぶり焼きチキン,10,1912,7,,,,,,,,,,,,,,,,,,,,,,3,784,0,1,169,1,1,169,1,1,131,1,2,416,2,2,243,2,,,,,,
2017年06月21日(水),92631267,あぶり焼きチキン,34,9521,17,2,486,0,,,,3,674,0,5,1270,0,1,580,0,1,188,0,4,1082,0,,,,1,580,0,6,2073,6,4,874,4,3,1059,3,2,357,2,2,298,2,,,
2017年06月22日(木),92631267,あぶり焼きチキン,25,7680,15,1,398,0,1,398,0,2,796,0,,,,3,1194,0,,,,,,,2,796,0,2,756,1,,,,2,480,2,5,1390,5,3,676,3,4,796,4,,,
2017年06月23日(金),92631267,あぶり焼きチキン,10,2054,6,1,188,0,1,298,0,1,188,0,,,,,,,1,188,0,,,,,,,,,,1,169,1,1,268,1,1,131,1,3,624,3,,,,,,
2017年06月24日(土),92631267,あぶり焼きチキン,20,4176,11,,,,,,,1,298,0,2,486,0,1,188,0,1,188,0,1,188,0,1,298,0,5,1400,3,1,268,1,,,,2,300,2,5,562,5,,,,,,
2017年06月25日(日),92631267,あぶり焼きチキン,33,8332,15,,,,1,298,0,1,188,0,3,894,0,,,,,,,2,376,0,1,188,0,6,1960,0,5,1705,1,4,894,4,4,1286,4,,,,4,393,4,2,150,2
2017年06月26日(月),92631267,あぶり焼きチキン,37,9450,15,1,580,0,2,596,0,2,376,0,2,486,0,2,486,0,2,486,0,,,,5,1662,0,3,674,0,5,1798,3,4,1180,3,1,208,1,6,730,6,2,188,2,,,
2017年06月27日(火),92631267,あぶり焼きチキン,10,2243,7,,,,,,,1,398,0,1,188,0,,,,,,,,,,,,,1,188,0,1,358,1,2,556,2,2,262,2,2,293,2,,,,,,
2017年06月28日(水),92631267,あぶり焼きチキン,29,7528,17,,,,,,,2,376,0,3,674,0,2,486,0,,,,4,1254,0,1,580,0,4,973,4,6,1466,6,3,959,3,1,208,1,2,262,2,1,290,1,,,
