youbi,SKUcode,item,urisuu,urikin,nesage,nine_urisuu,nine_urikin,nine_nesage,ten_urisuu,ten_urikin,ten_nesage,eleven_urisuu,eleven_urikin,eleven_nesage,noon_urisuu,noon_urikin,noon_nesage,one_urisuu,one_urikin,one_nesage,two_urisuu,two_urikin,two_nesage,three_urisuu,three_urikin,three_nesage,four_urisuu,four_urikin,four_nesage,five_urisuu,five_urikin,five_nesage,six_urisuu,six_urikin,six_nesage,seven_urisuu,seven_urikin,seven_nesage,eight_urisuu,eight_urikin,eight_nesage,pm_nine_urisuu,pm_nine_urikin,pm_nine_nesage,pm_ten_urisuu,pm_ten_urikin,pm_ten_nesage,pm_eleve_urisuu,pm_eleven_urikin,pm_eleven_nesage,
2017年04月27日(木),92855021,うどん＆煮込みカツ丼セット,6 ,1508 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,1 ,318 ,1 ,1 ,238 ,1 ,1 ,238 ,1 ,3 ,714 ,3 ,,,,,,,,,,
2017年04月28日(金),92855021,うどん＆煮込みカツ丼セット,6 ,1748 ,4 ,,,,1 ,398 ,0 ,,,,1 ,398 ,0 ,,,,,,,,,,,,,,,,3 ,714 ,3 ,1 ,238 ,1 ,,,,,,,,,,,,,
2017年04月29日(土),92855021,うどん＆煮込みカツ丼セット,6 ,2188 ,4 ,,,,,,,2 ,796 ,0 ,,,,1 ,358 ,1 ,1 ,358 ,1 ,,,,1 ,358 ,1 ,1 ,318 ,1 ,,,,,,,,,,,,,,,,,,,
2017年04月30日(日),92855021,うどん＆煮込みカツ丼セット,6 ,2148 ,3 ,,,,1 ,398 ,0 ,2 ,796 ,0 ,,,,1 ,358 ,1 ,,,,1 ,358 ,1 ,,,,,,,1 ,238 ,1 ,,,,,,,,,,,,,,,,
2017年05月01日(月),92855021,うどん＆煮込みカツ丼セット,8 ,2432 ,4 ,,,,,,,3 ,1140 ,0 ,,,,1 ,380 ,0 ,,,,,,,,,,,,,1 ,228 ,1 ,3 ,684 ,3 ,,,,,,,,,,,,,
2017年05月02日(火),92855021,うどん＆煮込みカツ丼セット,6 ,1710 ,5 ,,,,,,,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,1 ,318 ,1 ,1 ,318 ,1 ,1 ,278 ,1 ,1 ,199 ,1 ,1 ,199 ,1 ,,,,
2017年05月03日(水),92855021,うどん＆煮込みカツ丼セット,6 ,2188 ,3 ,,,,1 ,398 ,0 ,,,,,,,2 ,796 ,0 ,,,,2 ,716 ,2 ,,,,1 ,278 ,1 ,,,,,,,,,,,,,,,,,,,
2017年05月04日(木),92855021,うどん＆煮込みカツ丼セット,6 ,2148 ,2 ,,,,,,,1 ,398 ,0 ,3 ,1194 ,0 ,,,,,,,,,,,,,1 ,318 ,1 ,1 ,238 ,1 ,,,,,,,,,,,,,,,,
2017年05月05日(金),92855021,うどん＆煮込みカツ丼セット,4 ,795 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,318 ,1 ,,,,,,,,,,1 ,159 ,1 ,2 ,318 ,2 ,
2017年05月06日(土),92855021,うどん＆煮込みカツ丼セット,6 ,1033 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 ,238 ,1 ,3 ,477 ,3 ,2 ,318 ,2 ,
2017年05月07日(日),92855021,うどん＆煮込みカツ丼セット,6 ,2308 ,2 ,,,,,,,2 ,796 ,0 ,1 ,398 ,0 ,1 ,398 ,0 ,1 ,358 ,1 ,,,,1 ,358 ,1 ,,,,,,,,,,,,,,,,,,,,,,
2017年05月08日(月),92855021,うどん＆煮込みカツ丼セット,8 ,2204 ,5 ,,,,,,,,,,2 ,760 ,0 ,1 ,380 ,0 ,,,,,,,,,,,,,1 ,266 ,1 ,1 ,266 ,1 ,,,,,,,3 ,532 ,3 ,,,,
2017年05月09日(火),92855021,うどん＆煮込みカツ丼セット,6 ,1550 ,6 ,,,,,,,,,,,,,,,,,,,,,,1 ,318 ,1 ,,,,3 ,834 ,3 ,,,,,,,2 ,398 ,2 ,,,,,,,
2017年05月10日(水),92855021,うどん＆煮込みカツ丼セット,3 ,1194 ,0 ,,,,,,,1 ,398 ,0 ,1 ,398 ,0 ,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,
2017年05月11日(木),92855021,うどん＆煮込みカツ丼セット,6 ,2148 ,3 ,,,,1 ,398 ,0 ,2 ,796 ,0 ,,,,,,,,,,,,,,,,2 ,676 ,2 ,1 ,278 ,1 ,,,,,,,,,,,,,,,,
2017年05月12日(金),92855021,うどん＆煮込みカツ丼セット,3 ,834 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 ,556 ,2 ,1 ,278 ,1 ,,,,,,,,,,,,,
2017年05月13日(土),92855021,うどん＆煮込みカツ丼セット,6 ,1628 ,5 ,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,,,,1 ,278 ,1 ,4 ,952 ,4 ,,,,,,,
2017年05月14日(日),92855021,うどん＆煮込みカツ丼セット,6 ,2228 ,4 ,,,,,,,,,,2 ,796 ,0 ,,,,1 ,358 ,1 ,,,,2 ,716 ,2 ,1 ,358 ,1 ,,,,,,,,,,,,,,,,,,,
2017年05月15日(月),92855021,うどん＆煮込みカツ丼セット,6 ,1630 ,5 ,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,,,,1 ,278 ,1 ,1 ,278 ,1 ,2 ,477 ,2 ,1 ,199 ,1 ,,,,
2017年05月16日(火),92855021,うどん＆煮込みカツ丼セット,6 ,2109 ,2 ,,,,,,,,,,4 ,1592 ,0 ,,,,,,,,,,,,,,,,,,,1 ,318 ,1 ,,,,,,,,,,1 ,199 ,1 ,
2017年05月17日(水),92855021,うどん＆煮込みカツ丼セット,6 ,1193 ,6 ,,,,,,,,,,,,,1 ,358 ,1 ,,,,,,,,,,,,,,,,,,,,,,1 ,199 ,1 ,2 ,318 ,2 ,2 ,318 ,2 ,
2017年05月18日(木),92855021,うどん＆煮込みカツ丼セット,6 ,1748 ,4 ,,,,1 ,398 ,0 ,,,,1 ,398 ,0 ,,,,,,,,,,,,,,,,2 ,476 ,2 ,2 ,476 ,2 ,,,,,,,,,,,,,
2017年05月19日(金),92855021,うどん＆煮込みカツ丼セット,6 ,1908 ,3 ,,,,,,,1 ,398 ,0 ,2 ,796 ,0 ,,,,,,,,,,,,,,,,2 ,476 ,2 ,1 ,238 ,1 ,,,,,,,,,,,,,
2017年05月20日(土),92855021,うどん＆煮込みカツ丼セット,8 ,3040 ,0 ,,,,2 ,760 ,0 ,2 ,760 ,0 ,4 ,1520 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017年05月21日(日),92855021,うどん＆煮込みカツ丼セット,6 ,1828 ,4 ,,,,1 ,398 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,,,,1 ,318 ,1 ,1 ,238 ,1 ,2 ,476 ,2 ,,,,,,,,,,,,,
2017年05月22日(月),92855021,うどん＆煮込みカツ丼セット,6 ,1748 ,4 ,,,,,,,,,,,,,1 ,398 ,0 ,1 ,398 ,0 ,,,,,,,,,,3 ,714 ,3 ,1 ,238 ,1 ,,,,,,,,,,,,,
2017年05月23日(火),92855021,うどん＆煮込みカツ丼セット,6 ,1472 ,5 ,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,,,,1 ,278 ,1 ,2 ,398 ,2 ,1 ,199 ,1 ,1 ,199 ,1 ,
2017年05月24日(水),92855021,うどん＆煮込みカツ丼セット,6 ,2109 ,3 ,,,,,,,1 ,398 ,0 ,2 ,796 ,0 ,,,,,,,2 ,716 ,2 ,,,,,,,,,,,,,,,,1 ,199 ,1 ,,,,,,,
2017年05月25日(木),92855021,うどん＆煮込みカツ丼セット,6 ,1908 ,3 ,,,,,,,2 ,796 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,,,,1 ,238 ,1 ,2 ,476 ,2 ,,,,,,,,,,,,,
2017年05月26日(金),92855021,うどん＆煮込みカツ丼セット,6 ,1669 ,6 ,,,,,,,,,,,,,,,,1 ,358 ,1 ,,,,,,,,,,4 ,1112 ,4 ,,,,,,,1 ,199 ,1 ,,,,,,,
2017年05月27日(土),92855021,うどん＆煮込みカツ丼セット,9 ,2545 ,8 ,,,,,,,1 ,398 ,0 ,,,,,,,,,,1 ,358 ,1 ,,,,,,,2 ,636 ,2 ,,,,1 ,278 ,1 ,1 ,278 ,1 ,1 ,199 ,1 ,2 ,398 ,2 ,
2017年05月28日(日),92855021,うどん＆煮込みカツ丼セット,6 ,1949 ,3 ,,,,,,,1 ,398 ,0 ,2 ,796 ,0 ,,,,,,,,,,,,,,,,1 ,278 ,1 ,1 ,278 ,1 ,,,,,,,1 ,199 ,1 ,,,,
2017年05月29日(月),92855021,うどん＆煮込みカツ丼セット,8 ,2204 ,6 ,1 ,380 ,0 ,,,,1 ,380 ,0 ,,,,,,,,,,,,,,,,1 ,342 ,1 ,2 ,456 ,2 ,2 ,456 ,2 ,,,,,,,1 ,190 ,1 ,,,,
2017年05月30日(火),92855021,うどん＆煮込みカツ丼セット,6 ,1952 ,4 ,,,,,,,,,,2 ,760 ,0 ,,,,,,,,,,,,,,,,1 ,358 ,1 ,,,,3 ,834 ,3 ,,,,,,,,,,
2017年05月31日(水),92855021,うどん＆煮込みカツ丼セット,6 ,1868 ,4 ,,,,,,,,,,2 ,796 ,0 ,1 ,358 ,1 ,,,,,,,,,,,,,2 ,476 ,2 ,1 ,238 ,1 ,,,,,,,,,,,,,
2017年06月01日(木),92855021,うどん＆煮込みカツ丼セット,6 ,2108 ,3 ,,,,,,,2 ,796 ,0 ,1 ,398 ,0 ,1 ,358 ,1 ,,,,,,,,,,,,,2 ,556 ,2 ,,,,,,,,,,,,,,,,
2017年06月02日(金),92855021,うどん＆煮込みカツ丼セット,5 ,1472 ,3 ,,,,,,,2 ,796 ,0 ,,,,,,,,,,,,,,,,,,,,,,,,,1 ,278 ,1 ,,,,2 ,398 ,2 ,,,,
2017年06月03日(土),92855021,うどん＆煮込みカツ丼セット,8 ,2052 ,7 ,,,,,,,1 ,380 ,0 ,,,,,,,,,,1 ,342 ,1 ,,,,2 ,456 ,2 ,,,,3 ,684 ,3 ,,,,,,,1 ,190 ,1 ,,,,
2017年06月04日(日),92855021,うどん＆煮込みカツ丼セット,6 ,1668 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,4 ,1112 ,4 ,2 ,556 ,2 ,,,,,,,,,,,,,,,,
2017年06月05日(月),92855021,うどん＆煮込みカツ丼セット,6 ,1908 ,3 ,,,,2 ,796 ,0 ,1 ,398 ,0 ,,,,,,,,,,,,,,,,,,,1 ,238 ,1 ,,,,2 ,476 ,2 ,,,,,,,,,,
2017年06月06日(火),92855021,うどん＆煮込みカツ丼セット,6 ,1708 ,5 ,,,,1 ,398 ,0 ,,,,,,,1 ,358 ,1 ,,,,,,,,,,2 ,476 ,2 ,,,,1 ,238 ,1 ,1 ,238 ,1 ,,,,,,,,,,
2017年06月07日(水),92855021,うどん＆煮込みカツ丼セット,6 ,1510 ,6 ,,,,,,,,,,,,,1 ,358 ,1 ,1 ,358 ,1 ,,,,,,,1 ,238 ,1 ,,,,1 ,238 ,1 ,,,,1 ,159 ,1 ,1 ,159 ,1 ,,,,
2017年06月08日(木),92855021,うどん＆煮込みカツ丼セット,6 ,1868 ,4 ,,,,1 ,398 ,0 ,,,,1 ,398 ,0 ,,,,,,,1 ,358 ,1 ,,,,1 ,238 ,1 ,1 ,238 ,1 ,,,,1 ,238 ,1 ,,,,,,,,,,
2017年06月09日(金),92855021,うどん＆煮込みカツ丼セット,8 ,1868 ,8 ,,,,,,,,,,,,,1 ,358 ,1 ,,,,,,,,,,,,,2 ,476 ,2 ,1 ,238 ,1 ,,,,3 ,597 ,3 ,1 ,199 ,1 ,,,,
2017年06月10日(土),92855021,うどん＆煮込みカツ丼セット,6 ,1748 ,4 ,,,,,,,1 ,398 ,0 ,,,,1 ,398 ,0 ,,,,,,,,,,,,,1 ,238 ,1 ,2 ,476 ,2 ,1 ,238 ,1 ,,,,,,,,,,
2017年06月11日(日),92855021,うどん＆煮込みカツ丼セット,13 ,4934 ,3 ,,,,1 ,398 ,0 ,1 ,398 ,0 ,,,,2 ,756 ,1 ,,,,8 ,3144 ,1 ,,,,1 ,238 ,1 ,,,,,,,,,,,,,,,,,,,
2017年06月12日(月),92855021,うどん＆煮込みカツ丼セット,8 ,2318 ,5 ,,,,1 ,380 ,0 ,,,,2 ,760 ,0 ,,,,,,,1 ,342 ,1 ,,,,2 ,456 ,2 ,,,,,,,2 ,380 ,2 ,,,,,,,,,,
2017年06月13日(火),92855021,うどん＆煮込みカツ丼セット,6 ,2148 ,3 ,,,,,,,2 ,796 ,0 ,1 ,398 ,0 ,2 ,716 ,2 ,,,,,,,,,,1 ,238 ,1 ,,,,,,,,,,,,,,,,,,,
2017年06月14日(水),92855021,うどん＆煮込みカツ丼セット,7 ,1470 ,7 ,,,,,,,,,,,,,1 ,358 ,1 ,,,,,,,,,,1 ,238 ,1 ,,,,1 ,238 ,1 ,3 ,477 ,3 ,1 ,159 ,1 ,,,,,,,
2017年06月15日(木),92855021,うどん＆煮込みカツ丼セット,5 ,1590 ,4 ,,,,,,,,,,1 ,398 ,0 ,,,,,,,,,,1 ,318 ,1 ,3 ,874 ,3 ,,,,,,,,,,,,,,,,,,,
2017年06月16日(金),92855021,うどん＆煮込みカツ丼セット,6 ,1869 ,3 ,,,,,,,3 ,1194 ,0 ,,,,,,,,,,,,,,,,,,,2 ,476 ,2 ,,,,,,,1 ,199 ,1 ,,,,,,,
